BON Tokyo Asakusa,"Sumida Ward, Tokyo",13 reviews,"PKR 32,756",Double Room with Extra Bed,"2 beds (1 double, 1 sofa bed)",8.5
Okubo Hotel Hawaii,"Shinjuku Ward, Tokyo",161 reviews,"PKR 11,646",Standard Double Room,1 double bed,8
plat hostel keikyu minowa forest,"Taito, Tokyo",682 reviews,"PKR 7,570",Double Room,1 double bed,8.3
HOTEL MYSTAYS Kanda,"Chiyoda, Tokyo",918 reviews,"PKR 13,976",Standard  Double Room - Non-Smoking,1 double bed,8.3
OYO Hotel Florida,"Toshima, Tokyo",422 reviews,"PKR 10,773",Double Room,1 double bed,6.1
Super Hotel Shinagawa Shinbanba,"Shinagawa Ward, Tokyo",285 reviews,"PKR 18,389",Double Room - Non-Smoking ,1 double bed,8.4
MONday Apart Premium UENO OKACHIMACHI,"Taito, Tokyo",Null,"PKR 41,927",Deluxe Double Room,1 double bed,Null
Hotel Okura Tokyo Bay,"Urayasu, Tokyo","2,627 reviews","PKR 52,593", Room Selected at Check-In (No guarantee to enter the theme park) - Non-Smoking,2 single beds,8.8
Shinjuku Washington Hotel,"Shinjuku Ward, Tokyo","1,900 reviews","PKR 27,078",Economy Double Room - Smoking,1 double bed,7.7
GATE STAY PREMIUM HAMAMATSUCHO,"Minato, Tokyo",17 reviews,"PKR 66,384",Grand Japanese Suite Twin Room,2 single beds,9.2
Akasaka Urban Hotel,"Minato, Tokyo",219 reviews,"PKR 13,102",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.5
MIMARU TOKYO NIHOMBASHI SUITENGUMAE,"Chuo Ward, Tokyo",433 reviews,"PKR 76,429",Family Apartment,"3 beds (2 singles, 1 bunk bed)",9
Chisun Hotel Hamamatsucho,"Minato, Tokyo",429 reviews,"PKR 14,558",Economy Double Room - Smoking,1 double bed,6.9
Centurion Hotel Grand Akasakamitsuke Station,"Minato, Tokyo","1,392 reviews","PKR 21,663",Standard Queen Room - Non-Smoking,1 large double bed,8.1
FLEXSTAY INN Shirogane,"Minato, Tokyo",437 reviews,"PKR 14,558",Double Room with Small Double Bed - Smoking,1 single bed,7
Hotel Business Villa Omori,"Ota Ward, Tokyo",242 reviews,"PKR 16,014",Double Room with Small Double Bed - Non-Smoking,1 single bed,6.8
Khaosan World Ryogoku,"Sumida Ward, Tokyo","1,140 reviews","PKR 10,417",Standard Twin Room,2 single beds,8.8
Hotel Axas Nihonbashi,"Chuo Ward, Tokyo",96 reviews,"PKR 70,752",Standard Twin Room,2 single beds,8.9
MOON STATION HOTEL TOKYO,"Koto Ward, Tokyo",325 reviews,"PKR 31,882",2 Mixed Capsule Room - Horizontal,2 single beds,8.4
NOHGA HOTEL UENO TOKYO,"Taito, Tokyo","1,604 reviews","PKR 24,457",Run of House,Null,9.1
Tokyo Bay Maihama Hotel First Resort,"Urayasu, Tokyo","3,437 reviews","PKR 30,746",Castle Room (3rd and 4th Floor) - No guarantee to enter the theme park - Non-Smoking ,2 single beds,8.3
Hotel Emion Tokyo Bay,"Urayasu, Tokyo",651 reviews,"PKR 26,787",Standard Twin Room - Emion Tower,2 single beds,8.9
Guest House TRACE,"Chuo Ward, Tokyo",140 reviews,"PKR 9,375",Twin Room with Bunk Bed (Female Only),1 bunk bed,7.8
HOTEL Q,"Toshima, Tokyo",128 reviews,"PKR 17,929",Standard Double Room,1 large double bed,7.3
Super Hotel Lohas Ikebukuro-Eki Kitaguchi,"Toshima, Tokyo","2,534 reviews","PKR 19,508",Double Room with Small Double Bed,1 double bed,8.6
HOTEL HILLARYS Akasaka,"Minato, Tokyo","4,410 reviews","PKR 18,666",Room Selected at Check-In - Eco Plan(No Daily Cleaning),1 double bed,8.6
Kaneijizaka Heim 902,"Taito, Tokyo",Null,"PKR 28,534",Three-Bedroom Apartment,Entire apartment • 3 bedrooms • 1 living room • 1 bathroom • 45m²,Null
Real Life AOYAMA,"Minato, Tokyo",10 reviews,"PKR 64,637",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 40m²,8.9
Hotel Toyo,"Nakano, Tokyo",8 reviews,"PKR 21,914",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 23m²,9.1
Galois Hotel Shinokubo,"Shinjuku Ward, Tokyo",109 reviews,"PKR 26,204",Double Room,1 double bed,8.3
Tokyu Stay Meguro Yutenji,"Meguro Ward, Tokyo",339 reviews,"PKR 29,989",Double Room,1 large double bed,8.6
Hotel Livemax Tokyo-Otsuka Ekimae,"Toshima, Tokyo",306 reviews,"PKR 52,991",Twin Room - Smoking,2 single beds,7.7
Kamata Inn Social,"Ota Ward, Tokyo",53 reviews,"PKR 19,860",Standard Twin Room,2 single beds,7
Akasaka Granbell Hotel,"Minato, Tokyo",294 reviews,"PKR 29,844",Double Room - Smoking,1 double bed,8.1
Ryogoku View Hotel,"Sumida Ward, Tokyo",451 reviews,"PKR 19,362",Double Decker Room - Non Smoking,"2 beds (1 bunk bed, 1 sofa bed)",8.3
RUMa INN Rokugoudote,"Ota Ward, Tokyo",90 reviews,"PKR 7,232",Standard Twin Room with Shared Bathroom,2 bunk beds,7.9
Hotel Sunroute Patio Omori,"Shinagawa Ward, Tokyo",66 reviews,"PKR 19,308",Small Double Room,1 single bed,8
Tokyu Stay Nishi Shinjuku,"Shinjuku Ward, Tokyo",272 reviews,"PKR 28,510",Double Room,1 double bed,8.4
Mandarin Oriental Tokyo,"Chuo Ward, Tokyo",313 reviews,"PKR 108,342",Deluxe Twin Room,2 single beds,9.1
Kuretake-Inn Tokyo Funabori,"Edogawa, Tokyo",271 reviews,"PKR 26,184",Double Room - Smoking,1 double bed,7.5
HOTEL MYSTAYS Higashi Ikebukuro,"Toshima, Tokyo","1,903 reviews","PKR 14,412",Superior Semi Double - Non-Smoking,1 single bed,8.2
illi Nakano,"Nakano, Tokyo",20 reviews,"PKR 87,348",Studio Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 73m²,9.2
Super Hotel Tokyo Shiba,"Minato, Tokyo",466 reviews,"PKR 26,051",Standard Double Room,1 double bed,8.6
Keikyu EX Inn Tokyo Nihombashi,"Chuo Ward, Tokyo",33 reviews,"PKR 18,696",Economy Double Room,1 double bed,8.9
Tosei Hotel Cocone Ueno Okachimachi,"Taito, Tokyo",26 reviews,"PKR 17,802",Double Room,1 double bed,7.9
Time Sharing Stay Asakusa,"Taito, Tokyo",171 reviews,"PKR 12,049",Standard Double Room,1 double bed,8.7
FLEXSTAY INN Sugamo,"Toshima, Tokyo",223 reviews,"PKR 20,090",Standard Twin Room - Smoking,2 single beds,7.2
Hotel Peace (Adult Only),"Shinagawa Ward, Tokyo",34 reviews,"PKR 16,014",Small Double Room + Late Check in at 22:00,1 single bed,5.7
Hotel Villa Fontaine Tokyo-Otemachi,"Chiyoda, Tokyo",502 reviews,"PKR 25,156",Double Room - Non-Smoking ,1 double bed,8
Urayasu Sun Hotel,"Urayasu, Tokyo",345 reviews,"PKR 19,799",Economy Double Room - Smoking,1 large double bed,7
ONSEN RYOKAN YUEN SHINJUKU,"Shinjuku Ward, Tokyo","1,946 reviews","PKR 44,367",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.9
Richmond Hotel Premier Tokyo Oshiage,"Sumida Ward, Tokyo","1,202 reviews","PKR 55,167",Double Room - Non-Smoking ,1 double bed,9
green sea oshiage,"Sumida Ward, Tokyo",22 reviews,"PKR 9,608",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,8.7
Hotel Sunlite Shinjuku,"Shinjuku Ward, Tokyo",682 reviews,"PKR 15,854",Twin Room - Main Building - Non-Smoking - No Cleaning,2 single beds,7.9
Asakusa Kei House,"Taito, Tokyo",10 reviews,"PKR 144,334",Holiday Home,Entire holiday home • 4 bedrooms • 1 living room • 1 bathroom • 250m²,9
Mitsui Garden Hotel Prana Tokyo Bay,"Urayasu, Tokyo","1,738 reviews","PKR 26,787",Room Selected at Check In (2 Adults),2 single beds,8.7
Hotel Villa Fontaine Tokyo-Kudanshita,"Chiyoda, Tokyo",638 reviews,"PKR 26,903",Double Room - Non-Smoking ,1 double bed,8
Belle Via Tokyo,"Toshima, Tokyo",50 reviews,"PKR 11,792",Standard Double or Twin Room,2 double beds,5.7
Hotel Check In Shimbashi,"Minato, Tokyo",498 reviews,"PKR 27,890",Double Room - Non-Smoking ,1 double bed,7.7
Toyoko Inn Tokyo Akabane-eki Higashi-guchi,"Kita, Tokyo",8 reviews,"PKR 23,584",Economy Double Room - Smoking,1 double bed,7.4
FLEXSTAY INN Higashi Jujo,"Kita, Tokyo",614 reviews,"PKR 10,482",Economy Double Room with Small Double Bed - Smoking,1 single bed,7.2
Hotel Coco Grand Kitasenju,"Adachi Ward, Tokyo",394 reviews,"PKR 45,053",Economy Double Room,1 double bed,8.7
Hotel Villa Fontaine Grand Tokyo-Roppongi,"Minato, Tokyo",625 reviews,"PKR 35,184",Superior Queen Room - Non-Smoking,1 large double bed,8.1
Hotel Livemax Asakusabashi-Eki Kitaguchi,"Taito, Tokyo",328 reviews,"PKR 12,152",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.1
Super Hotel JR Ikebukuro Nishiguchi,"Toshima, Tokyo",499 reviews,"PKR 30,035",Double Room with Loft Bed - Non-Smoking ,"2 beds (1 single, 1 double)",8.3
R&B Hotel Otsuka Eki Kitaguchi,"Toshima, Tokyo",222 reviews,"PKR 21,400",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.2
Shinbashi Urban Hotel,"Minato, Tokyo",190 reviews,"PKR 18,780",Small Double Room,1 double bed,8.3
REAL 早稻田,"Shinjuku Ward, Tokyo",14 reviews,"PKR 11,493",Double Room,1 double bed,6.2
Hotel New Star Ikebukuro,"Toshima, Tokyo",85 reviews,"PKR 16,857",Double Room with Small Double Bed - Smoking,1 single bed,6.9
Business Hotel La Firenze,"Adachi Ward, Tokyo",254 reviews,"PKR 22,710",Economy Double Room,1 double bed,7.4
Tokyu Stay Yotsuya,"Shinjuku Ward, Tokyo",298 reviews,"PKR 22,547",Economy Double Room,1 double bed,8.5
Tokyo Green Palace,"Chiyoda, Tokyo",141 reviews,"PKR 47,561",Room with Small Double Bed - Non-Smoking,1 single bed,7.9
Centurion Hotel Residential Akasaka Station,"Minato, Tokyo",764 reviews,"PKR 18,343",Moderate Double Room - Non-Smoking - Annex,1 double bed,8.2
Super Hotel Shinbashi-Karasumoriguchi,"Minato, Tokyo",70 reviews,"PKR 23,906",Superior Double Room - Non-Smoking,1 double bed,8.1
No4マンション#最大50パーセントオフ実施中 JR大塚駅徒歩5分 築浅 池袋 自主隔離やテレワークOK 固定Wifi,"Toshima, Tokyo",27 reviews,"PKR 13,757",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 24m²,9.1
HOTEL MYSTAYS Ueno East,"Taito, Tokyo","2,053 reviews","PKR 13,102",Standard Double Room with Small Double Bed - Non-Smoking,1 single bed,8
Asakusa Central Hotel,"Taito, Tokyo",804 reviews,"PKR 13,102",Double Room B - Smoking - Main Building,1 double bed,8.3
Haneda Inn,"Ota Ward, Tokyo",362 reviews,"PKR 24,842", Double Room - Non-Smoking,1 double bed,8
Smile Hotel Asakusa,"Taito, Tokyo",559 reviews,"PKR 12,616",Double Room with Small Double Bed - Smoking,1 single bed,7.2
Vessel Inn Ueno Iriya Ekimae,"Taito, Tokyo",256 reviews,"PKR 17,184",[Vaccinated People Only] Renovated Single Room - Non-Smoking,1 double bed,8.8
Shinjuku City Hotel N.U.T.S Tokyo,"Shinjuku Ward, Tokyo",584 reviews,"PKR 28,534",Standard Double Room,1 double bed,7.6
CHA-AN HOTEL UENO,"Taito, Tokyo",237 reviews,"PKR 12,738",Standard Family Room,"4 beds (1 double, 2 bunk beds, 1 futon)",8.9
Hotel Villa Fontaine Tokyo-Kayabacho,"Chuo Ward, Tokyo",608 reviews,"PKR 24,457",Double Room - Non-Smoking ,1 double bed,7.8
Tosei Hotel Cocone Asakusa,"Taito, Tokyo",6 reviews,"PKR 11,938",Double Room,1 double bed,9.2
nestle tokyo luxury otsuka,"Toshima, Tokyo",27 reviews,"PKR 94,627",Apartment,Entire apartment • 4 bedrooms • 1 living room • 1 bathroom • 82m²,8.5
FLEXSTAY INN Tokiwadai,"Itabashi Ward, Tokyo",346 reviews,"PKR 16,305",Double Room with Small Double Bed - Smoking,1 single bed,7.1
最大50パーセントオフ実施中 JR大塚駅徒歩5分 築浅No3マンション,"Toshima, Tokyo",17 reviews,"PKR 13,626",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 24m²,8.1
FLEXSTAY INN Nakanobu,"Shinagawa Ward, Tokyo",257 reviews,"PKR 16,596",Twin Room - Smoking,2 single beds,6.9
OYO Tokyo Ryokan,"Toshima, Tokyo",13 reviews,"PKR 18,083",Double Room,1 double bed,6.5
The Wardrobe Hostel Shibuya Roppongi,"Minato, Tokyo",289 reviews,"PKR 12,811",Twin Room with Bath,2 single beds,7.7
Tokyu Stay Ikebukuro,"Toshima, Tokyo",859 reviews,"PKR 18,448",Double Room - Non-Smoking ,1 double bed,8.4
Hotel Route-Inn Tokyo Kamata,"Ota Ward, Tokyo",217 reviews,"PKR 28,825",Small Double Room - Non-Smoking,1 double bed,8.2
Hotel Mid In Meguro Ekimae,"Meguro Ward, Tokyo",96 reviews,"PKR 28,825",Double Room with Small Double Bed - Smoking,1 single bed,7.5
The Light Inn Tokyo,"Arakawa, Tokyo",115 reviews,"PKR 14,861",Economy Double Room,1 double bed,8.6
KEIKYU EX INN HANEDA ANAMORI INARI-STATION 2 minutes walk from Anamori Inari Station,"Ota Ward, Tokyo",880 reviews,"PKR 25,127",Double Room,1 double bed,8.4
Kadoya Hotel,"Shinjuku Ward, Tokyo",366 reviews,"PKR 43,266",Economy Double Room - Non-Smoking,1 large double bed,7.9
Hotel Villa Fontaine Tokyo-Shinjuku,"Shinjuku Ward, Tokyo",199 reviews,"PKR 18,197",Standard Double Room - Late Check-in 17:00,1 single bed,8.1
Tokyo Toranomon Tokyu REI Hotel,"Minato, Tokyo",410 reviews,"PKR 23,293",Small Double Room - Non-Smoking - South Wing,1 double bed,8.1
AKARENGA House,"Arakawa, Tokyo",58 reviews,"PKR 10,978",Twin Room with Shared Toilet,2 single beds,8
Maison de Takinogawa,"Kita, Tokyo",26 reviews,"PKR 13,976",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 12m²,6.9
Hotel Trend Asakusa Tawaramachi,"Taito, Tokyo",312 reviews,"PKR 13,976",Double Room,1 double bed,8.6
Tokyo Inn,"Ota Ward, Tokyo",164 reviews,"PKR 18,925",Double Room with Small Double Bed - Smoking,1 single bed,7.7
Hills Hotel Gotanda,"Shinagawa Ward, Tokyo",289 reviews,"PKR 21,546",Standard Double Room with Shower,1 double bed,6.6
sequence SUIDOBASHI/ TOKYO,"Chiyoda, Tokyo",11 reviews,"PKR 24,021",Double Room,1 double bed,8.5
池袋から5分、大山駅から徒歩3分、FREEWIFI,"Itabashi Ward, Tokyo",Null,"PKR 14,979",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 20m²,Null
Tokyo City View Hotel Tabata Station,"Kita, Tokyo",152 reviews,"PKR 18,954",Double Room,1 large double bed,7.9
Nishishinjuku Green Hotel,"Shibuya Ward, Tokyo",123 reviews,"PKR 38,433",Double Room - Non-Smoking ,1 double bed,6.5
Forest Hongo,"Bunkyo, Tokyo",250 reviews,"PKR 34,066",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.4
Centurion Hotel Ueno,"Bunkyo, Tokyo","2,061 reviews","PKR 13,882",Casual Semi-double Room - Non smoking,1 single bed,7.7
japan house ebisu,"Shibuya Ward, Tokyo",16 reviews,"PKR 26,051",Double Room with Private Bathroom,1 double bed,6.9
Suidobashi Grand Hotel,"Bunkyo, Tokyo",773 reviews,"PKR 34,878",Small Double Room,1 double bed,7.5
Hotel Cadenza Tokyo,"Nerima Ward, Tokyo",205 reviews,"PKR 36,395",Double Room - Non-Smoking ,1 double bed,7.7
Asakusa Kokono Club Hotel,"Taito, Tokyo",151 reviews,"PKR 27,369",Double Room,1 double bed,9.2
Zabutton Hostel and Coffee,"Minato, Tokyo",244 reviews,"PKR 12,811",Twin Room with Shared Bathroom,2 single beds,8.3
Super Hotel Shinagawa Aomono-Yokocho,"Shinagawa Ward, Tokyo",211 reviews,"PKR 24,519",Double Room - Non-Smoking ,1 double bed,8.6
Hotel Cocoro Inn Asakusa Kuramae,"Taito, Tokyo",218 reviews,"PKR 14,267",Economy Double Room #01,1 double bed,7.5
Tokyu Stay Nihombashi,"Chuo Ward, Tokyo",204 reviews,"PKR 12,811",Economy Double Room with Small Double Bed - Smoking,1 single bed,8
Guesthouse toco,"Taito, Tokyo",239 reviews,"PKR 39,307",Queen Room with Balcony,1 large double bed,9.1
The Barn Tokyo,"Taito, Tokyo",148 reviews,"PKR 19,886",Deluxe Double Room,1 double bed,9.5
Hotel Route-Inn Grand Tokyo Asakusabashi,"Taito, Tokyo",440 reviews,"PKR 21,546",Double Room - Non-Smoking ,1 double bed,8.6
Keio Plaza Hotel Tokyo Premier Grand,"Shinjuku Ward, Tokyo",396 reviews,"PKR 297,099","Club Floor ""Premier Grand"" Suite Family Room with Club Lounge Access - Non-Smoking",Private suite • 1 bedroom • 1 living room • 1 bathroom • 71m²,8.9
Ochanomizu Inn,"Bunkyo, Tokyo",140 reviews,"PKR 23,438",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.8
Hyatt Centric Ginza Tokyo,"Chuo Ward, Tokyo",322 reviews,"PKR 90,397",Twin Room,2 single beds,9
MyCUBE by MYSTAYS Asakusa Kuramae,"Taito, Tokyo","1,613 reviews","PKR 15,140",2 Capsule Rooms for Male,2 single beds,9
Hotel Lifetree Ueno,"Taito, Tokyo","1,070 reviews","PKR 30,426",Small Double Room Smoking - 2 adults,1 double bed,8.7
灯光旅館 Light hotel,"Katsushika, Tokyo",16 reviews,"PKR 27,277",Double or Twin Room with Private Bathroom,"3 beds (2 singles, 1 bunk bed)",8.1
Tokyu Stay Tsukiji,"Chuo Ward, Tokyo",424 reviews,"PKR 26,787",Superior Double Room - Non-Smoking,1 large double bed,8.5
intheHood Nihonbashi - Vacation STAY 09748v,"Chuo Ward, Tokyo",Null,"PKR 24,850",Studio,Private studio • 26m²,Null
House Ikebukuro,"Toshima, Tokyo",568 reviews,"PKR 13,102",Triple Room with Shared Bathroom,3 futon beds,8.8
セカンドハウスのようなプライベート宿 東京平和島 T House,"Ota Ward, Tokyo",271 reviews,"PKR 34,066",Quadruple Room with Private Bathroom,4 futon beds,8.6
ヴェールSta.竹ノ塚,"Adachi Ward, Tokyo",5 reviews,"PKR 23,599",Double Room,1 double bed,3.6
Sun Hotel,"Adachi Ward, Tokyo",146 reviews,"PKR 21,837",Standard Apartment,Entire apartment • 1 bedroom • 1 bathroom • 20m²,8.3
Almont Inn Tokyo Nihonbashi,"Chuo Ward, Tokyo",21 reviews,"PKR 14,558",Small Double Room - Non-Smoking,1 single bed,8.1
Hotel Route-Inn Grand Tokyo Toyocho,"Koto Ward, Tokyo",319 reviews,"PKR 26,496",Small Double Room - Smoking,1 single bed,8.4
Four Stories Hotel Maihama Tokyo Bay,"Urayasu, Tokyo",23 reviews,"PKR 30,648",Standard Queen Room,1 large double bed,8.8
Hotel Mielparque Tokyo,"Minato, Tokyo",386 reviews,"PKR 27,369",Double Room - Non-Smoking ,1 double bed,7.9
Khaosan Tokyo Samurai,"Taito, Tokyo","1,193 reviews","PKR 41,927",Deluxe Room with Bunk Beds (6 Adults),Shared dormitory room,8.7
Hotel Kizankan,"Bunkyo, Tokyo",126 reviews,"PKR 26,971",Twin Room - Non-Smoking,2 single beds,7.1
PRISM INN Asakusa,"Taito, Tokyo",Null,"PKR 17,163",One-Bedroom Apartment,Private apartment • 1 bedroom • 1 bathroom • 28m²,Null
Hamacho Hotel Tokyo,"Chuo Ward, Tokyo","1,219 reviews","PKR 37,560",Double Room with Small Double Bed,1 large double bed,9
Oji-House_王子ハウス,"Kita, Tokyo",Null,"PKR 9,930",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 13m²,Null
Nice Hostel Yotsugi,"Katsushika, Tokyo",177 reviews,"PKR 10,191",Standard Double Room with Two Double Beds,2 double beds,6.6
"燕ホテル 浅草橋駅徒歩3分 浅草 秋葉原 上野の近隣 調理器具キッチン洗濯機有り東京スカイツリー4駅,テレワーク最適","Taito, Tokyo",7 reviews,"PKR 24,519",Queen Suite,Private suite • 1 bedroom • 1 living room • 1 bathroom • 23m²,9.7
The Shin-Okubo International Hotel,"Shinjuku Ward, Tokyo",555 reviews,"PKR 11,646",Twin Room - Non-Smoking - Main Building,2 single beds,7.5
Park Hyatt Tokyo,"Shinjuku Ward, Tokyo",262 reviews,"PKR 122,189",Park Room Twin,2 double beds,9.1
Hotel Bellclassic Tokyo,"Toshima, Tokyo","1,325 reviews","PKR 39,015",Comfort Small Double Room - Non-Smoking,1 double bed,9.1
NAT House,"Shinjuku Ward, Tokyo",Null,"PKR 16,550",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,Null
Business Hotel Sunpalace,"Arakawa, Tokyo",22 reviews,"PKR 31,969",Twin Room - Non-Smoking,2 single beds,7.6
Tokyu Stay Kamata,"Ota Ward, Tokyo",218 reviews,"PKR 46,877",Double Room,1 double bed,8.4
HOTEL MYSTAYS Ueno Inaricho,"Taito, Tokyo",862 reviews,"PKR 15,373",Standard Double Room with Small Double Bed - Non-Smoking,1 single bed,7.5
Kitsune Shippo,"Taito, Tokyo",181 reviews,"PKR 8,647",Double Room with Shared Bathroom,1 double bed,8.5
Toyoko-Inn Tokyo Shinagawa Aomono-yokocho-eki,"Shinagawa Ward, Tokyo",Null,"PKR 26,787",Economy Double Room - Smoking,1 double bed,Null
Hotel Route-Inn Tokyo Ikebukuro,"Toshima, Tokyo",52 reviews,"PKR 34,357",Standard Double Room - Non-Smoking,1 double bed,7.5
UNPLAN Shinjuku,"Shinjuku Ward, Tokyo","1,000 reviews","PKR 19,857",Standard Double Room with Shared Bathroom,1 double bed,9
Act Hotel Roppongi - Vacation STAY 42410v,"Minato, Tokyo",3 reviews,"PKR 23,642",Studio,Private studio • 12m²,9
Hotel Villa Fontaine Grand Tokyo-Tamachi,"Minato, Tokyo","1,055 reviews","PKR 40,529",Superior Double Room - Non-Smoking,1 large double bed,8.3
Urban Core Shikano 401,"Shinjuku Ward, Tokyo",4 reviews,"PKR 9,608",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 19m²,8.5
2269AZAVU,"Minato, Tokyo",14 reviews,"PKR 35,246",Room Selected at Check-In,1 double bed,8.5
NOHGA HOTEL AKIHABARA TOKYO,"Chiyoda, Tokyo",22 reviews,"PKR 42,295",Double Room with Shower,1 large double bed,9.5
Shangri-La Tokyo,"Chiyoda, Tokyo",382 reviews,"PKR 133,759",Deluxe King Room,1 extra-large double bed,9.1
The Tokyo Station Hotel,"Chiyoda, Tokyo",744 reviews,"PKR 129,682",Classic Comfort Queen with No View - Non-Smoking,1 large double bed,9.2
Marunouchi Hotel,"Chiyoda, Tokyo",874 reviews,"PKR 95,704",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.9
Marvelous Kinshicho - Vacation STAY 12965v,"Sumida Ward, Tokyo",Null,"PKR 19,892",Apartment,Entire apartment • 19m²,Null
Sasatsuka Fleur Tachibana Hotel Apartment,"Shibuya Ward, Tokyo",3 reviews,"PKR 16,219",Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 bathroom • 56m²,10
ADAMAS HOTEL,"Meguro Ward, Tokyo",19 reviews,"PKR 19,799",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 23m²,7
Tokyo Sunshine Tower,"Minato, Tokyo",Null,"PKR 26,221",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,Null
Pearl Hotel Ryogoku,"Sumida Ward, Tokyo",309 reviews,"PKR 24,457",Economy Twin Room - Non-Smoking,"2 beds (1 single, 1 sofa bed)",7.2
SARUE GUEST HOUSE in East Tokyo,"Koto Ward, Tokyo",3 reviews,"PKR 31,031",Economy Twin Room,2 single beds,9
Beagle Tokyo Hostel＆Apartments,"Ota Ward, Tokyo",628 reviews,"PKR 17,470",Standard Twin Room,1 bunk bed,8.6
Hotel Bougainvillea Akebonobashi,"Shinjuku Ward, Tokyo",38 reviews,"PKR 18,925",Double Room,1 double bed,7.3
アンドステイ代田6丁目202,"Setagaya, Tokyo",Null,"PKR 18,416",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 38m²,Null
Nice Hostel Kameari,"Katsushika, Tokyo",118 reviews,"PKR 13,102",Standard Quadruple Room,2 double beds,7.1
【Shinjuku52】光回線完備パーティースペースにも使える新宿のお部屋,"Shinjuku Ward, Tokyo",Null,"PKR 36,778",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 37m²,Null
Centurion Hotel&Spa Ueno Station,"Taito, Tokyo","1,811 reviews","PKR 21,983",Standard Semi-Double Room -Non Smoking - Annex,1 single bed,8.3
Allcomein Hotel Akihabara,"Taito, Tokyo",20 reviews,"PKR 16,887",Double Room with Private Bathroom,1 double bed,6.8
"Budget Price, Monthly Stays Ok, Studio Apt Easy Access Shibuya & Shinjuku with WIFI & TV C38","Shibuya Ward, Tokyo",15 reviews,"PKR 10,327",One-Bedroom House,Entire holiday home • 1 bedroom • 1 bathroom • 25m²,7.7
Arcsens Tokyo,"Sumida Ward, Tokyo",92 reviews,"PKR 30,281",Duplex Studio,Private studio • 1 bathroom • 35m²,9.2
Via Inn Asakusa,"Taito, Tokyo",243 reviews,"PKR 26,358",Double Room with Small Double Bed - Smoking,1 single bed,8
Soho Asakusa Hotel,"Taito, Tokyo",122 reviews,"PKR 21,837",Room with Bunk Bed,1 bunk bed,6.9
LUANAHOTEL IN NAKANO,"Nakano, Tokyo",13 reviews,"PKR 17,470",Standard Double Room,3 double beds,7.2
Hostel Hana An,"Katsushika, Tokyo",140 reviews,"PKR 20,963",Economy Double Room,1 double bed,8.4
cyashitsu ryokan asakusa,"Taito, Tokyo",172 reviews,"PKR 131,167",Japanese-Style Twin Room with Private Toilet,2 futon beds,9.4
OYO Hotel Fifty's for Maihama,"Edogawa, Tokyo",36 reviews,"PKR 16,596",Double Room,1 double bed,6.7
intheHood Shinjuku Bellbe - Vacation STAY 10271,"Shinjuku Ward, Tokyo",Null,"PKR 28,534",Apartment,Entire apartment • 25m²,Null
ホテルエミリー,"Taito, Tokyo",3 reviews,"PKR 18,389",Economy Twin Room,2 single beds,9
Andaz Tokyo - A Concept by Hyatt,"Minato, Tokyo",282 reviews,"PKR 113,272",Standard Twin Room,2 single beds,9.1
Urayasu Brighton Hotel Tokyo Bay,"Urayasu, Tokyo",487 reviews,"PKR 41,053",Standard Twin Room - Lower Floor - Non-Smoking,2 single beds,8.9
japan house mac hotel,"Chiyoda, Tokyo",Null,"PKR 14,098",Double Room with Private Bathroom,2 single beds,Null
浅草圈4层独栋别墅 免费停车场 近车站 可直达机场,"Katsushika, Tokyo",Null,"PKR 38,617",Three-Bedroom Villa,Entire villa • 3 bedrooms • 1 living room • 1 bathroom • 96m²,Null
Guest House Wagokoro,"Arakawa, Tokyo",777 reviews,"PKR 30,267",Standard Japanese-Style Room with Garden View,3 single beds,9.2
japan house edogawabashi,"Shinjuku Ward, Tokyo",6 reviews,"PKR 23,906",Double Room with Private Bathroom,1 double bed,7.8
